"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,22.9,0.84,0.731,0.2287,102.2,451.1,10.8,151.6,0.6195,0.1006,0.3361,-2.59,0.29,6.02,10.8,0.0641,13.74,8,8.3,19,0,NA,93.1,NA,0.06,11.22,4.87,0.06,NA,10.89,244.7,0.1898,0.68,14.03,0.22,0.1696,NA,0.4565,0.0366,-19.1,214.4,0.1413,0.1238,35.6,0.0236,-163.7,-0.1086,0.2923,2.1,0.0055,0.14,-2.59,-0.3115,1506.8,NA,0.3483,212.4,9.54,30.3,133464,1530.6,47,4.56,1530.6,1,NA
"2",2011-07-31,22.6,NA,NA,0.18129175946548,183.8,517.8,8.3,223.5,0.89114832535885,0.15948337376909,0.43163383545771,59.6845,NA,10.149758454106,33.4,0,0,26.9,21.4272,60.3,0.20345,0.2007722007722,27.3,27.3,0.038504936530324,1.0148698884758,0.45273631840796,0.01948051948052,NA,-13.1573,250.8,0.18713789107764,NA,NA,-0.075,0.55091649694501,NA,0.4816,0.042680571649285,1,210.1,0.19371727748691,0.16228070175439,20.7,0.014770943342372,-120.8,-0.086199514770943,0,1.1430903155604,0.019195090623662,0.14992150706436,34.5845,1.6140490636969,1401.4,21.427195,0.11262241566921,230.4,9.38,40.7,220693,709,2.2,95.5,709,0.9,1.11714922049
"3",2010-07-31,22.6,NA,NA,0.18129175946548,183.8,517.8,8.3,223.5,0.3410131217577,0.15948337376909,0.43163383545771,0,NA,29.695652173913,33.4,0,0,26.9,21.4272,60.3,0.20345,0.2007722007722,431.9,431.9,0.30819180819181,16.055762081784,7.1625207296849,0.30819180819181,NA,46.5272,655.4,0.18713789107764,NA,NA,-0.075,0.7712437518377,NA,0.5249,0.042680571649285,1,614.7,0.066211159915406,0.062099481232835,20.7,0.014770943342372,-120.8,-0.086199514770943,0,3.3443960826986,0.019195090623662,0.43863279577565,-25.1,-1.1714085768109,1401.4,21.427195,0.11262241566921,230.4,25.65,40.7,358051,1401.4,20.7,29.695652173913,1401.4,NA,2.9193763919822
"4",2009-07-31,23,NA,NA,0.24464438731791,176.3,559.6,15.3,118.6,0.73894080996885,0.077083062524373,0.21193709792709,2.6589,NA,NA,49.3,0,0,4.9,4.9,54.2,0,NA,41.9,0.36498257839721,0.028819038448311,8.5510204081633,0.77306273062731,0.027232549070584,NA,36.2411,160.5,0.23856325947105,NA,NA,1.6959,0.87832699619772,NA,0.2485,0.041458184417441,114.8,103.4,0.55222437137331,0.35576323987539,-109.6,-0.071233588976992,-48.3,-0.031392174704277,NA,0.58650028360749,0.0031847133757962,0.067203951644352,-31.3411,-6.3961393474587,1538.6,0.042682926829268,-0.62166761202496,310.8,4.85,57.1,0,1453.9,-77.5,NA,1453.9,NA,0.68766066838046
"5",2008-07-31,80.9,0.38,0.8053,0.17674722403658,630.2,1367.3,36.3,542,3.3790523690773,0.26929000844637,0.39640166751993,-12.8472,0.15894697628213,NA,80,0,0,-183.8553,-183.8553,-103.8553,0,NA,-381.6,-1.7073825503356,-0.20185136207353,NA,NA,-0.18959606498733,NA,-127.3081,160.4,0.18379287647188,NA,NA,0.0778,0.96010638297872,0.469,0.3449,0.084326775396767,223.5,25.1,5.390438247012,0.84351620947631,-184.1,-0.091469170765638,-211.6,-0.10513240920157,NA,0.039828625833069,-0.091347602722711,0.01247081035425,-56.5472,NA,2012.7,-0.82261888143177,-0.2921294827039,501.7,0.36,135.3,7608,1890.5,-294.9,NA,1890.5,0.8,0.20953625081646
"6",2007-07-31,80.9,NA,0.2626,0.17674722403658,630.2,1367.3,36.3,542,0.69009421950598,0.26929000844637,0.39640166751993,-5.6982,0.54836252856055,NA,80,0,0,-183.8553,-183.8553,-103.8553,0,NA,243.4,1.0890380313199,0.12427878478427,NA,NA,0.12093208128385,0.095,-134.4571,785.4,0.18379287647188,-0.83,NA,0.0778,0.34567901234568,0.466,0.1239,0.084326775396767,223.5,650.1,0.20812182741117,0.17226890756302,-184.1,-0.091469170765638,-211.6,-0.10513240920157,NA,1.0315772770549,-0.091347602722711,0.32299895662543,-49.3982,NA,2012.7,-0.82261888143177,-0.2921294827039,501.7,6.87,135.3,518130,1958.5,-199.8,NA,1958.5,0.9,1.0259960809928
"7",2006-07-31,96.4,0.78,0.2551,0.15342465753425,803.4,1762.8,53.5,514.8,0.4092860550167,0.23122529644269,0.29203539823009,0,0.53312426499412,NA,87.4,0,0,-197.1615,-197.1615,-109.7615,0,NA,743,1.7111929986181,0.33372260150916,NA,NA,0.33372260150916,0.085,-163.2615,1257.8,0.16575901974132,-0.52,NA,-0.0605,0.14511664689601,0.436,0.0977,0.07544815066939,434.2,1112.2,0.1309117065276,0.11575767212593,-222.8,-0.100071864894,71.6,0.032159540064678,NA,1.3843664426189,-0.088556198347107,0.4995508444125,-33.9,NA,2226.4,-0.45407996315062,-0.2773213841175,556.2,13.08,145.6,488300,2226.4,-222.8,NA,2226.4,0.85,1.3253951527924
"8",2005-07-31,100.4,1.04,0.2339,0.15914797116709,NA,1977.6,112.3,933,0.68709036011488,0.37796232529876,0.47178398058252,0,0.88926891834117,NA,111.9,0,0,-72.8977,-72.8977,39.0023,0,NA,424.9,1.4083526682135,0.17212882317197,NA,10.894229314681,0.17212882317197,0.11,-73.2977,1357.9,0.18719660194175,NA,NA,0.0669,0.17373662855035,0.436,0.1058,0.072613268608414,301.7,1161.4,0.16919235405545,0.14470874143899,-44.5,-0.018027141989062,-187.2,-0.075835527648369,NA,1.1186669235215,-0.02953117277699,0.47048815069881,0.4,-0.0054871415696242,2468.5,-0.24162313556513,-0.042862646888846,586.5,11.71,196.5,387200,2468.5,-44.5,NA,2468.5,1,1.0997813233984
"9",2004-07-31,96.2,0.98,0.3863,0.051301684532925,NA,1874.4,89.3,1039.3,0.71829428433202,0.46880779466823,NA,0,0.50737768573647,NA,99.9,0,0,36.1355,36.1355,136.0355,0,NA,407.6,74.109090909091,0.18386034552754,11.279775799235,2.9962773679541,0.18386034552754,0.09,46.7355,1446.9,0.13967136150235,NA,NA,0.0297,0.28851540616247,0.406,0.1134,0.065354246692275,5.5,1393.3,0.03846981985215,0.037044716289999,-58.6,-0.026433307772114,-212.5,-0.09585457169922,NA,1.4056698950767,0.0163,0.6284902341107,-10.6,-0.29334058751692,2216.9,6.5700854545454,-0.059120258272801,501.6,15.22,53.6,122200,2216.9,-58.6,NA,2216.9,0.95,1.3848583460949
"10",2002-07-31,NA,1.28,0.7245,0.0496,NA,1607.9,39.2,1010,0.73183102673719,0.65944110733873,NA,-13.6826,0.3084,NA,66,0,0,-43.9726,-43.9726,22.0274,0,NA,370.1,NA,NA,NA,16.801801392811,0.24164272656046,NA,-3.49,1380.1,0.15585546364824,NA,NA,0.1271,0.21553296846495,0.359,0.1507,0.036196280863238,-95.051,1334.7,0.034015134487151,0.032896166944424,-92.1,-0.060133194045443,-201.531,-0.13158200574563,NA,1.5350201265095,-0.028710237659963,0.87144162966832,-40.4826,NA,NA,NA,-0.10592294422082,370.6,16.15,45.4,222900,1531.6,-87.6,NA,1635.6,1.15,NA
"11",2001-07-31,NA,1.2,0.8847,0.044762227111186,NA,1881.3,106.5,1094.6,0.76199095022624,0.88926801527338,NA,-24.7201,0.40691759918616,NA,60.4,0,0,-172.94145,-172.9415,-112.5415,0,NA,341.9,NA,NA,NA,NA,0.27776423754976,NA,-197.0496,1436.5,0.11906660288099,NA,NA,0.1246,0.48293963254593,0.307,0.1335,NA,34.3,1383.6,0.03823359352414,0.036825617821093,-138.2,-0.11227557072061,-176.5,-0.14339101470469,NA,1.285873605948,-0.1405,1.1240555690958,24.1081,NA,NA,-5.0420247813411,-0.12843866171004,337.0204,18.12,52.9,NA,1230.9,-138.2,NA,1231,NA,1.2724776330942
