"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-31,23.6,1.09,0.3175,0,218.8,251.6,12.4,68.6,0.0626,0.3728,0.2727,2.95,0.8,48.69,6.2,0,0,34,22.34,40,0.3371,0.3382,1026.9,6.84,5.3,30.47,25.74,5.58,13.19,1095.5,0.1188,NA,0.18,0.135,0.2294,NA,0.7811,0.2746,150.2,1095.5,0,0,22.5,0.1223,55.4,0.3011,0,5.01,0.1832,5.95,9.15,0.4096,184,0.1487,0.1028,58.7,45.32,0,120637,193.8,24.7,44.35,193.8,0.85,5.01
"2",2011-05-31,23.3,0.79,0.3449,0,188.6,219.7,7.8,56.1,0.077443401435671,0.32484076433121,0.25534820209376,1.0694,0.57987822557263,31.771929824561,5.3,0,0,35.9,23.2675,41.2,0.35188,0.35227272727273,668.3,5.0437735849057,3.7864022662889,18.615598885794,16.220873786408,3.8697162709902,19.6981,724.4,0.10150204824761,NA,0.185,0.1939,0.30376819480343,NA,0.7327,0.31315430131998,132.5,724.4,0,0,22.8,0.13202084539664,48.6,0.28141285466126,0,3.8409331919406,0.20787492762015,4.1945570353214,3.5694,0.15340572130513,172.7,0.17560383396226,0.12089077412513,52,30.64,0,131179,176.5,22.1,32.778280542986,176.5,0.8,3.8409331919406
"3",2010-05-31,22.6,0.6,0.3741,0,152.7,180.2,5.4,22.8,0.024126984126984,0.16227758007117,0.12652608213097,-3.3211,0.53461641272387,54,4.4,0,0,26.9,17.251,31.3,0.3587,0.35897435897436,922.2,7.0993071593533,7.0720858895706,34.282527881041,29.463258785943,6.5637010676157,19.5721,945,0.10654827968923,NA,0.175,0.1563,0.34868212130835,NA,0.6929,0.31631520532741,129.9,945,0,0,17.5,0.12455516014235,46.2,0.3288256227758,0,6.188605108055,0.1914590747331,6.7259786476868,-2.3211,-0.13455120436912,140.5,0.13280192455735,0.11460379829731,46.1,41.03,0,86066,130.4,18.9,50,130.4,0.8,6.188605108055
"4",2009-05-31,22.1,0.53,0.3527,0,128.7,142.2,2.8,13.8,0.025751072961373,0.11625947767481,0.09704641350211,3.1245,0.340232492203,38.553956834532,3.9,0,0,20.5,13.1528,24.4,0.3584,NA,522.1,4.5439512619669,4.1338083927158,25.468292682927,21.397540983607,4.3984835720303,11.1283,535.9,0.12025316455696,NA,0.16,0.142,0.38375350140056,NA,0.6821,0.34880450070323,114.9,535.9,0,0,13.9,0.11710193765796,48.8,0.41112047177759,0,4.1639471639472,0.17270429654591,4.5147430497051,2.0245,0.15392278340047,118.7,0.11447171453438,0.10800310800311,38.9,23.61,0,86716,126.3,15.3,35.02614379085,126.3,0.75,4.1639471639472
"5",2008-05-31,14.5,0.61,0.3068,0,111.2,126.4,2.5,14.3,0.042508917954816,0.1396484375,0.11313291139241,-2.322,0.44328552803129,27.801652892562,3.5,0,0,18,11.7724,21.5,0.34598,NA,322.1,3.3240454076367,2.9741458910434,17.894444444444,14.981395348837,3.1455078125,15.0943,336.4,0.13370253164557,NA,0.15,0.1482,0.25171400587659,NA,0.6114,0.31803797468354,96.9,336.4,0,0,12.1,0.1181640625,40.3,0.3935546875,0,3.0251798561151,0.17578125,3.28515625,-3.322,-0.28218408681437,102.4,0.12148978328173,0.10881294964029,35.2,24.98,0,73916,108.3,12.8,26.28125,108.3,0.85,3.0251798561151
"6",2007-05-31,14,1.89,0.2755,0,91.9,105.3,4.7,13.4,0.035142932074482,0.15563298490128,0.12725546058879,-0.2244,0.52268602540835,41.901098901099,2.8,0,0,13.5,8.8784,16.3,0.34234,NA,367.9,4.6866242038217,4.2384792626728,27.251851851852,22.570552147239,4.2729384436702,7.2028,381.3,0.15574548907882,NA,0.14,0.0574,0.33796407185629,NA,0.4354,0.32098765432099,78.5,381.3,0,0,9.1,0.10569105691057,27.6,0.3205574912892,0,4.1490750816104,0.15679442508711,4.4285714285714,1.6756,0.18872858497158,86.1,0.11310076433121,0.099020674646355,31.1,26.27,0,31232,86.8,9.7,39.309278350515,86.8,0.9,4.1490750816104
"7",2006-05-31,8.3,2.43,0.3332,0.13422818791946,64.5,88.3,2.7,2,0.0093764650726676,0.027624309392265,0.022650056625142,-1.1412,0.38415366146459,25.73417721519,2.4,0,0,12.1,7.9469,14.5,0.34323,NA,211.3,2.9144827586207,2.787598944591,17.462809917355,14.572413793103,2.9185082872928,8.7881,213.3,0.16194790486976,NA,0.13,0.1315,0.18126463700234,NA,0.3691,0.42015855039638,72.5,203.3,0.049188391539597,0.046882325363338,7.9,0.10911602209945,24.3,0.33563535911602,0,3.1519379844961,0.1671270718232,2.8080110497238,-0.8412,-0.10584736458107,72.4,0.10961264827586,0.12248062015504,25,22.2,10,13886,75.8,8.2,24.792682926829,75.8,0.8,2.8630872483222
"8",2005-05-31,8.1,0.59,0.3462,0,NA,63.9,2.7,2,0.011634671320535,0.031055900621118,0.031298904538341,0.5274,0.34084344309648,29.135593220339,1.7,0,0,8.7813,5.8267,10.4813,0.33647,NA,169.9,3.217803030303,2.638198757764,19.347888472348,16.209790369915,2.7054140127389,4.2993,171.9,0.19092331768388,NA,0.13,0.1119,0.29723632261703,NA,0.2593,0.32394366197183,52.8,171.9,0,0,5.9,0.093949044585987,20.7,0.3296178343949,0,3.1368613138686,0.13982993630573,2.7372611464968,1.5274,0.26213750377462,62.8,0.11035358446212,0.10766423357664,21.8,21,0,9527,64.4,6.4,26.859375,64.4,0.9,3.1368613138686
"9",2004-05-31,8,0.62,0.3497,0.075435203094778,NA,60,5,1.7,0.0092491838955386,0.029059829059829,NA,1.0216,0.35458964826995,35.274509803922,1.4,0,0,8.9466,5.9446,10.3466,0.33555,NA,182.1,3.642,3.1128205128205,20.354100999262,17.599984535983,3.2810810810811,1.3229,183.8,0.18333333333333,NA,0.14,0.1551,0.19603356216629,NA,0.2776,0.37166666666667,50,179.9,0.021678710394664,0.021218715995647,5.1,0.091891891891892,18.9,0.34054054054054,0,3.7635983263598,0.1612,3.2414414414414,4.6216,0.77745285005808,55.5,0.1188913674,0.10669456066946,20,22.3,3.9,2575,58.5,5.4,33.314814814815,58.5,0.85,3.5551257253385
"10",2003-05-31,6.2,0.92,0.5239,0,NA,48,2.5,8.9,0.05672402804334,0.19139784946237,NA,1.4,0.3872,32.6875,1.1,0,0,6.8,4.4757,7.9,0.34181,NA,148,NA,NA,21.764705882353,18.73417721519,3.1827956989247,3.0757,156.9,0.095833333333333,NA,NA,0.1144,0.37038050917054,NA,0.2224,0.28541666666667,32.5,156.9,0,0,4.8,0.10322580645161,13.2,0.28387096774193,0,3.7898550724638,0.14623655913979,3.3741935483871,1.4,0.31280079147537,46.5,0.1377136,0.11594202898551,17.9,25.4,0,9199,47.8,5,31.38,47.8,0.75,4.5538461538462
"11",2002-05-31,NA,0.84,0.5587,0,NA,39.9,1.7,6.4,0.069189189189189,0.15571776155718,NA,0.882,0.2622,23.717948717949,1.1,0,0,6.571,4.3494,7.671,0.33809,NA,86.1,NA,NA,13.103028458378,11.224090731326,2.0948905109489,2.8674,92.5,0.092731829573935,NA,0.27,0.1226,0.23200559049616,0,0.1891,0.28070175438597,29.193,92.5,0,0,3.9,0.094890510948905,12.932,0.31464720194647,0,2.6056338028169,0.1058250756691,2.2506082725061,1.482,0.34073582213476,NA,0.14898813448429,0.10985915492958,15.4,15.21,0,25900,41.1,4.4,21.022727272727,43.9,0.7,3.1685678073511
"12",2001-05-31,NA,0.65,0.5612,0.0033898305084746,NA,33,13,7.2,0.063492063492064,0.20630372492837,NA,16.9978,0.34746970776907,35.40625,1.3,0,0,5.57004,3.6257,6.87,0.34908,NA,106.2,NA,NA,19.066290367753,15.458425278455,3.0429799426934,-13.3102,113.4,0.081818181818182,22.839506172839,NA,0.4717,0.52251308268134,NA,0.1681,NA,22.2,113.3,0.00088261253309797,0.00088183421516755,3.2,0.091690544412608,11.1,0.31805157593123,0,3.8668941979522,0.103886832,3.2464183381089,16.9359,4.6711259938638,NA,0.16331758724324,0.10921501706485,13.4679,18.5,0.1,NA,34.9,3.4,33.323529411765,36.5,NA,3.8571428571429
"13",2000-05-31,NA,0.45,0.3812,0.022727272727273,NA,29.5,0.9,10.7,0.21272365805169,0.35785953177258,NA,NA,0.17707240293809,16.032258064516,0.9,0,0,3.3,2.3671,3.2671,0.28271,NA,39.6,NA,NA,12,12.121000643699,1.3244147157191,0.1339,50.3,0.091525423728814,NA,NA,0.0885,0.328,NA,0.0973,NA,15.7,49.7,0.012072434607646,0.011928429423459,NA,0.12040133779264,NA,0.2742474916388,0,1.9263565891473,0.11036789297659,1.6622073578595,NA,0,NA,0.15076796178344,0.13953488372093,10.3,NA,NA,NA,NA,3.6,13.805555555556,29.9,NA,1.905303030303
