"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,69.3,0.98,0.7539,0,132.1,219.1,3,203.6,0.0504,2.4829,0.9293,-11.52,0.32,336.58,0.6,0,0,12,11.76,12,0.0032,0,3835.3,20.77,325.03,309.3,46.77,NA,20.88,4038.9,0.0173,0.84,68.79,NA,0.6541,NA,0.7011,0,-71.5,4038.9,0,0,12,0.1463,-9.2,-0.1122,0,30.57,0.1439,49.25,-9.12,-0.7756,82,NA,0.0908,16.6,57.78,0,519654,184.7,12,336.58,184.7,1.05,NA
"2",2011-06-30,67.9,0.63,0.7332,0,101.7,116.4,1.1,112.3,0.11191947378912,13.695121951219,0.9647766323024,2.9024,0.37506819421713,NA,0.3,0,0,-26.7188,-26.7188,-26.4188,0,NA,891.1,143.72580645161,NA,NA,108.67073170732,NA,-30.4213,1003.4,0.011168384879725,NA,NA,-0.2279,0.53816237238697,NA,0.6211,0,-10.6,1003.4,0,0,-35.2,-4.2926829268293,-11.9,-1.4512195121951,NA,9.866273352999,-3.2583926829268,122.36585365854,3.7024,NA,8.2,NA,-0.34611602753196,9.9,14.82,0,626089,6.2,-42.2,NA,6.2,1.1,NA
"3",2010-06-30,59.2,1.01,0.9519,0,66.8,76.8,0.2,74.1,0.19655172413793,7.9677419354839,0.96484375,-1.7634,0.28889589242567,NA,0.2,0,0,-15.5655,-15.5655,-15.3655,0,NA,302.9,26.805309734513,NA,NA,32.569892473118,NA,-13.802,377,0.0065104166666667,NA,NA,NA,0.49305555555556,NA,0.4982,0,-7.3,377,0,0,-15,-1.6129032258064,-8.2,-0.88172043010753,NA,5.6437125748503,-1.6737053763441,40.537634408602,-1.7634,NA,9.3,NA,-0.22455089820359,7.6,6.08,0,390323,11.3,-17.6,NA,11.3,1.1,NA
"4",2009-06-30,27.5,1.03,0.8655,NA,-1.7,18.3,0.1,16.3,0.093624353819644,NA,0.89071038251366,NA,0.21259387637204,NA,0.3,0,0,NA,NA,NA,0,NA,157.8,NA,NA,NA,NA,NA,NA,174.1,0.027322404371585,NA,NA,NA,0.71284634760705,NA,0.3999,0,-11.6,167.7,0.038163387000596,0.036760482481333,-23.4,NA,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,3.14,6.4,64159,NA,-21.7,NA,NA,1.15,NA
"5",2008-06-30,26,1.18,0.8365,0,16.4,18.4,0.2,16.8,0.68016194331984,NA,0.91304347826087,NA,0.21996413628213,NA,0.3,0,0,-0.3,-0.3,0,0,NA,7.9,NA,NA,NA,NA,NA,NA,24.7,0.03804347826087,NA,NA,NA,0.67359050445104,NA,0.2287,0,-0.4,24.7,0,0,-24.3,NA,-1.5,NA,NA,1.5060975609756,NA,NA,NA,NA,NA,NA,-1.4817073170732,8.3,0.82,0,14847,NA,-24,NA,NA,1.15,NA
"6",2007-06-30,26,4.35,0.5583,0,38.4,41.1,0.5,38.8,1.0458221024259,NA,0.94403892944039,0.7374,0.44420562421637,NA,0.4,0,0,-0.4,-0.4,0,0,NA,-1.7,-17,NA,NA,NA,NA,-1.2374,37.1,0.019464720194647,-1.27,NA,-0.4609,0.59259259259259,NA,0.3762,0,-0.4,37.1,0,0,-26.2,NA,-1.6,NA,NA,0.96614583333333,NA,NA,0.8374,NA,NA,NA,-0.68229166666667,7.4,1.49,0,108121,0.1,-26.5,NA,0.1,1.55,NA
"7",2006-06-30,20.9,3.57,0.6052,0,39.3,42.7,0.5,40.5,0.39092664092664,202.5,0.94847775175644,0,0.3172504957039,NA,0.6,0,0,-0.6,-0.6,0,0,NA,63.1,315.5,NA,NA,315.5,0.1,-0.5,103.6,0.018735362997658,-1.35,NA,NA,0.30497925311203,NA,0.5536,0,-1.2,103.6,0,0,-42.2,-211,-2.3,-11.5,NA,2.6361323155216,-3,518,-0.1,NA,0.2,NA,-1.0737913486005,18.6,5.07,0,325264,0.2,-38.5,NA,0.2,1.2,NA
"8",2005-06-30,19.8,1.12,0.5201,0,NA,74.6,0.3,71.9,1.0496350364964,NA,0.96380697050938,0,0.4306864064603,NA,0.7,0,0,NA,NA,NA,0,NA,-3.4,NA,NA,NA,NA,NA,NA,68.5,0.012064343163539,-2.15,NA,0,0.53889674681754,NA,0.7556,0,-1.9,68.5,0,0,-31,NA,-3.2,NA,NA,0.97857142857143,NA,NA,-0.4,NA,NA,NA,-0.44285714285714,32.2,3.55,0,395035,NA,-34.1,NA,0,1.45,0.97857142857143
"9",2004-06-30,19.6,1.41,0.6732,0,NA,104.7,0.4,101.4,0.50347567030785,16.622950819672,NA,0,0.41889483065954,NA,1.4,0,0,NA,NA,NA,0,NA,100,16.393442622951,NA,NA,NA,NA,NA,201.4,0.012416427889207,NA,NA,0,0.39385602934434,NA,0.6504,0,-1.1,201.4,0,0,-29.2,NA,-2.9,NA,NA,2.0079760717846,NA,NA,-1,NA,NA,NA,-0.29112662013958,28.9,9.99,0,38303,6.1,-29.3,NA,6.1,1.15,2.0079760717846
"10",2003-06-30,16.2,1.97,0.7268,0,NA,91.9,0.1,87.7,0.78094390026714,NA,NA,-6.8,0.5954,NA,2.1,0,0,-2.1,-2.1,0,0,NA,24.6,NA,NA,NA,NA,NA,-0.1,112.3,0.023939064200218,NA,NA,0,0.51386623164763,NA,0.5029,0,1.7,112.3,0,0,-28.3,NA,-1.1,NA,NA,1.2561521252796,NA,NA,-2,NA,0,-1.2352941176471,-0.3165548098434,28,6.91,0,83738,0,-28.7,NA,0,1.1,14.470588235294
"11",2002-06-30,NA,1.34,0.87,0,NA,121,1.3,114.9,1.7813953488372,NA,NA,0,0.2697,NA,2.3,0,0,NA,NA,NA,0,NA,-50.4,NA,NA,NA,NA,NA,NA,64.5,0.034710743801653,-2.01,-1.9154228855721,NA,0.61475409836066,0,0.5594,0,2.69,64.5,0,0,-36.6,NA,-1.988,NA,NA,0.5484693877551,NA,NA,-1,NA,NA,NA,-0.31122448979592,7.8,3.85,0,11600,0,-33.6,NA,0,1.2,23.977695167286
"12",2001-06-30,NA,1.35,0.8979,0,NA,161,3.1,152.8,1.0394557823129,49.290322580645,NA,-186.5145,0.45105245573004,NA,1.7,0,0,-39.43696,-39.437,-37.737,0,NA,-5.8,NA,NA,NA,-1.8709677419355,NA,-36.9037,147,0.032298136645963,NA,NA,0.9365,0.69014084507042,NA,0.7572,NA,1.6,147,0,0,-30.9,-9.9677419354839,-4.2,-1.3548387096774,NA,0.9520725388601,-12.7216,47.41935483871,-2.5333,NA,NA,-24.6481,-0.20012953367876,6.5038,9.67,0,NA,3.1,-32.4,NA,3,NA,0.9520725388601
"13",2000-06-30,NA,1,0.8138,0.00055096418732782,NA,185.1,1.8,108.7,0.22338676531032,67.9375,NA,NA,0.18432047186041,NA,1.2,0,0,-30.2,-30.2,-29,0,NA,377.9,NA,NA,NA,236.1875,NA,-30.8,486.6,0.02052944354403,NA,NA,-0.3905,0.51617546384876,NA,0.769,NA,72.8,486.5,0.00020554984583762,0.00020550760378134,NA,-17.625,NA,-0.4375,NA,2.6819184123484,-18.875,304.0625,NA,NA,NA,-0.41483516483517,-0.15545755237045,31.8,NA,NA,NA,NA,-28.2,NA,1.6,NA,2.6809917355372
