"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-30,10.3,1.11,0.3025,0.3089,86.8,961.1,0,60.2,0.4219,0.0626,NA,0.8,9.8,0,0,0,27,16.68,27,0.3775,0.3765,82.5,1.26,3.08,3.08,16.68,142.7,0.0102,-0.165,NA,0.3012,NA,NA,0.0022,65.4,103.9,0.3734,0.2719,10.6,0,0,1.2,0,0,NA,0.2551,0.1221,8.3,10.24,38.8,53722,NA,10.6,9.8,NA,0.9,1.14
"2",2011-05-30,10,0.74,0.3358,0.34550311665182,73.5,807.3,0,59.7,0.58817733990148,0.073950204384987,NA,0.67004169148303,NA,0,0,0,18.1,18.1,18.1,0,NA,41.8,0.79467680608365,2.3093922651934,2.3093922651934,18.1,101.5,0.010776662950576,NA,NA,0.140625,NA,NA,0,52.6,62.7,0.61881977671451,0.38226600985222,-0.5,0,NA,0.8530612244898,0,0,NA,0.34410646387833,-0.0068027210884354,13,6.34,38.8,9768,NA,NA,NA,NA,0.9,0.90382902938557
"3",2010-05-30,5.3,0.92,0.496,0.31360946745562,58,730.9,0,17,0.19450800915332,0.023258995758654,NA,0.47883064516129,8.2297297297297,0,0,0,25.1,23.6663,25.1,0.05712,0.063291139240506,70.4,1.042962962963,2.804780876494,2.804780876494,23.6663,87.4,0.011766315501437,NA,NA,0.3305954825462,NA,NA,0,67.5,60.9,0.43513957307061,0.30320366132723,7.4,0,0,1.05,0,0,NA,0.35061167407407,0.12758620689655,11.9,6.48,26.5,8520,NA,4.3,14.162790697674,NA,0.95,1.0343195266272
"4",2009-05-30,5.3,0.64,0.4242,0.31360946745562,58,730.9,0,17,0.39351851851852,0.023258995758654,NA,0.35832154644036,2.2567567567568,0,0,0,25.1,23.6663,25.1,0.05712,NA,26.2,0.38814814814815,1.0438247011952,1.0438247011952,NA,43.2,0.011766315501437,NA,NA,0.3849938499385,NA,NA,0,67.5,16.7,1.5868263473054,0.61342592592593,7.4,0,0,0.28793103448276,NA,NA,NA,0.35061167407407,0.12758620689655,11.9,3.38,26.5,11071,NA,4.3,3.8837209302326,NA,0.95,0.5112426035503
"5",2008-05-30,5.3,0.96,0.3804,0.31360946745562,58,730.9,0,17,0.37280701754386,0.023258995758654,NA,0.39957939011567,2.5810810810811,0,0,0,25.1,23.6663,25.1,0.05712,NA,28.6,0.4237037037037,1.1394422310757,1.1394422310757,NA,45.6,0.011766315501437,NA,NA,0.52420701168614,NA,NA,0,67.5,19.1,1.3874345549738,0.58114035087719,7.4,0,0,0.32931034482759,NA,NA,NA,0.35061167407407,0.12758620689655,11.9,4.2,26.5,4600,NA,4.3,4.4418604651163,NA,0.95,0.5396449704142
"6",2007-05-30,5.3,0.83,0.1649,0.31360946745562,58,730.9,0,17,0.25875190258752,0.023258995758654,NA,0.77622801697999,5.2972972972973,0,0,0,25.1,23.6663,25.1,0.05712,NA,48.7,0.72148148148148,1.9402390438247,1.9402390438247,NA,65.7,0.011766315501437,NA,NA,NA,NA,NA,0,67.5,39.2,0.67602040816327,0.40334855403349,7.4,0,0,0.67586206896552,NA,NA,NA,0.35061167407407,0.12758620689655,11.9,6.8,26.5,6781,NA,7.4,5.2972972972973,NA,0.8,0.77751479289941
"7",2006-05-30,5.2,2.11,0.3076,0.29624478442281,50.6,702.7,0,34.1,0.40402843601896,0.048527109719653,NA,0.31209362808843,8.7638888888889,0,0,0,20,16.6824,20,0.16588,NA,50.3,1.3306878306878,2.515,2.515,NA,84.4,0.0085384943788245,NA,NA,NA,NA,NA,0,37.8,63.1,0.33755942947702,0.25236966824645,7.2,0,0,1.2470355731225,NA,NA,NA,0.44133333333333,0.14229249011858,8.3,12.18,21.3,13752,NA,7.2,8.7638888888889,NA,0.6,1.1738525730181
"8",2005-05-30,5.3,0.44,0.454,0.39477303988996,NA,543.1,0,16,0.17640573318633,0.02946050451114,0,0.19383259911894,9.2537313432836,0,0,0,NA,NA,NA,0.12602,NA,74.7,1.3174603174603,NA,NA,NA,90.7,0.0095746639661204,NA,0,NA,NA,0,0,56.7,62,0.46290322580645,0.31642778390298,6.7,0,0,1.4090909090909,0,NA,NA,NA,0.15227272727273,5.5,11.8,28.7,7144,NA,6.1,10.16393442623,0,0.9,1.2475928473177
"9",2004-05-30,1.3,0.55,0.6511,0.5265306122449,NA,238.3,0,3.6,0.044887780548628,NA,0,0.16894486254032,23.206896551724,0,0,0,NA,NA,NA,0,NA,76.6,3.6650717703349,NA,NA,NA,80.2,0.022660511959715,NA,0,NA,NA,0,0,20.9,67.3,0.19167904903417,0.16084788029925,2.9,0,0,5.801724137931,0,NA,NA,NA,0.25,6.3,13.211,12.9,200,NA,5.2,12.942307692308,0,0.9,3.2734693877551
"10",2003-05-30,1.3,0,0,0.5265306122449,NA,238.3,0,3.6,0.13090909090909,NA,0,0,5.0344827586207,0,0,0,7.5,7.5,7.5,0,NA,23.9,NA,3.1866666666667,3.1866666666667,7.5,27.5,0.022660511959715,NA,0,NA,NA,NA,0,20.9,14.6,0.88356164383562,0.46909090909091,2.9,0,0,1.2586206896552,0,0,0,0.35885167464115,0.25,6.3,11.31,12.9,25530,0,2.2,6.6363636363636,0,0.85,1.1435406698565
"11",2002-05-30,NA,NA,NA,0.164,NA,243.7,0,7.7,0.9625,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0.3,NA,NA,NA,NA,8,0.0049240869922035,NA,NA,NA,0,0,0.01805498563808,1.442,6.5,0.23076923076923,0.1875,-6.1,0,NA,0.85526315789474,0,NA,NA,NA,-0.80263157894737,15,5,1.5,1000,0,-5.7,NA,0,1.25,5.5478502080444
