"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,21.2,0.6,0.1426,0,818.9,2695.2,5.4,105,0.0775,0.039,NA,0.8,11.27,0,0.02,27.14,NA,NA,NA,0.2764,0.2762,1250.7,1.75,0.025,NA,1355.7,0.0067,3.53,18.32,0.08,NA,0.0962,0.052,0.8034,0,713.9,1355.7,0,0,120.3,0,0.2803,1.66,4.51,5.4,NA,NA,0.1469,538.5,64.66,0,62185,NA,96.8,14.01,NA,0.8,1.66
"2",2010-12-31,21,0.65,0.1861,0,791.4,2514.6,2.8,39.8,0.025642677662522,0.015827567008669,NA,0.8,14.084392014519,0,0.0163,25.2992,NA,NA,NA,0.31656,0.31680099194048,1512.3,2.0121075039915,0.03,NA,1552.1,0.0041358466555317,4.37,16.672768878719,0.125,NA,0.18825313223206,0.128,0.8745,0,751.6,1552.1,0,0,110.2,0,0.22957558983666,1.9612079858479,4.694797338173,2.8,NA,NA,0.13924690422037,493.4,72.86,0,96800,NA,124.9,12.426741393115,NA,0.8,1.9612079858479
"3",2009-12-31,21.3,0.47,0.2069,0,832.3,2538.7,11.6,104.5,0.096420003690718,0.041162799858195,NA,0.8,10.656833824975,0,0.0224,24.2771,NA,NA,NA,0.31003,0.27408993576017,979.3,1.3455619675735,0.02,NA,1083.8,0.007129633276874,3.94,13.342639593909,0.195,NA,0.10997671502776,0.126,0.8474,0,727.8,1083.8,0,0,101.7,0,0.23871307767945,1.3021746966238,5.3284169124877,11.6,NA,NA,0.12219151748168,492,52.57,0,114163,NA,104.9,10.331744518589,NA,0.8,1.3021746966238
"4",2008-12-31,21.5,0.3,0.1897,0,708.2,2419.4,6,98,0.08461405629425,0.040505910556336,NA,0.6747496046389,10.66482504604,0,0.0209,24.2064,NA,NA,NA,0.30584,NA,1060.2,1.7374631268437,0.02,NA,1158.2,0.018930313300818,4.22,12.618483412322,0.23,NA,0.18648933116448,0.13,0.8166,0,610.2,1158.2,0,0,108.6,0,0.22289484346225,1.6354137249365,5.3324125230203,NA,NA,NA,0.15334651228467,528.8,53.25,0,124818,NA,105.5,10.978199052133,NA,0.8,1.6354137249365
"5",2007-12-31,22.2,0.19,0.1876,0,774.4,2626.5,4.5,73.7,0.058720420683611,0.028060156101276,NA,0.76759061833689,7.5290941811638,0,0.017687833638754,22.2,0,0,0,0.26968,NA,1181.4,1.6860282574568,0.035,NA,1255.1,0.0041500095183705,3.97,15.405541561713,0.25,NA,0.24203273040482,0.129,0.8647,0,700.7,1255.1,0,0,166.7,0,0.13317336532693,1.6207386363636,2.1511697660468,NA,NA,0,0.21526342975207,544.5,61.16,0,125603,NA,117,10.72735042735,NA,0.9,1.6207386363636
"6",2006-12-31,24.3,0.06,0.1776,0,756.3,2771.3,4.6,104.2,0.078040742959856,0.037599682459495,NA,0.72072072072072,12.16029143898,0,0.016743559017376,22.356,0,0,0,0.32718,NA,1231,1.8877472780248,0.075,NA,1335.2,0.0064590625338289,4.33,12.517321016166,0.185,NA,0.09518297569228,0.121,0.8779,0,652.1,1335.2,0,0,109.8,0,0.20360655737705,1.7654369959011,1.621372191864,NA,NA,0,0.14518048393495,530.3,54.2,0,101370,NA,185.8,7.1862217438105,NA,0.8,1.7654369959011
"7",2005-12-31,25.6,0.74,0.1952,0,692.9,2735.9,10.5,62.3,0.04435742257031,0.022771300120618,NA,0.65573770491803,14.494324045408,0,0.014581701673193,20.48,0,0,0,0.26071,NA,1342.2,2.1284490960989,0.1,NA,1404.5,0.0056288607039731,3.91,14.429667519182,0.145,NA,0.12447443042926,0.124,0.8156,0,630.6,1404.5,0,0,96.9,0,0.21135190918473,2.0269880213595,1.4494324045408,NA,NA,0,0.13984701977197,491.3,56.42,0,72400,NA,94,14.941489361702,NA,0.8,2.0269880213595
"8",2004-12-31,25.3,0.21,0.2006,0,NA,2468.8,4.1,76.2,0.059638412772951,0.030865197666883,0,0.20937188434696,19.840062111801,0,0.012830793905373,16.192,NA,NA,NA,0.20984,NA,1201.5,2.1945205479452,0.11,NA,1277.7,0.0074125081011018,3,16.626666666667,0.095,0,0.17147003939457,0.114,0.7924,0,547.5,1277.7,0,0,64.4,0,0.25142857142857,2.048581048581,1.8036420101638,4.1,NA,NA,0.10325476992144,511.3,49.88,0,66700,NA,64.4,19.840062111801,0,0.75,2.048581048581
"9",2003-12-31,25.2,0.12,0.2296,0,NA,2134.4,4.4,33,0.031359878361684,NA,0,0.10452961672474,17.957337883959,0,0.012661309958607,13.104,NA,NA,NA,0.23437,NA,1019.3,1.9560545000959,0.125,NA,1052.3,0.0087143928035982,2.75,14.934545454545,0.075,0,0.13950456323338,0.111,0.7584,0,521.1,1052.3,0,0,58.6,0,0.22361774744027,1.8991156830897,1.4365870307167,4.4,NA,NA,0.10575708355892,463.6,41.07,0,22700,NA,58.6,17.957337883959,0,0.75,1.8991156830897
"10",2002-12-31,24.7,0.09,0.2445,0,NA,1719.3,3.4,47.9,0.051867893881971,NA,0,0.0819,24.175392670157,0,0.010698429886302,9.88,0,0,0,0.20322,NA,875.6,NA,0.16,-3.4,923.5,0.010353050660152,2.51,14.760956175299,NA,0,0.21373555840822,NA,0.8037,0,408.7,923.5,0,0,38.2,0,0.2586387434555,2.0225580376697,1.5109620418848,3.4,0,0,0.083661848445028,697.1,37.05,0,65444,0,NA,NA,0,0.7,2.1424027403964
"11",2001-12-31,NA,0.19,0.2615,0,NA,1391,8.4,53.6,0.099002585888437,NA,0,0.1238,17.927152317881,0,0.0132,7.1465,NA,NA,NA,0.26259,NA,487.8,NA,0.14,NA,541.4,0.013227893601725,2.04,13.436274509804,0.255,NA,0.15212207916071,0,0.6143,0,281.784,541.4,0,0,30.2,0,0.23663841059603,1.6141920095408,1.2805108798486,8.4,NA,NA,0.090041741204532,315.2,27.41,0,83600,0,0,NA,0,0.75,1.9213298129063
"12",2000-12-31,NA,0.7,0.2417,0,NA,1281.3,2.6,48.1,0.10974218571755,NA,NA,0.6,15.271777003484,0,0.01430983344741,6.272,NA,NA,NA,0.2507,NA,390.2,NA,0.085,NA,438.3,0.010770311402482,NA,14.04,NA,NA,0.087229098429681,NA,0.5821,NA,278.6,438.3,0,0,28.7,0,0.21853658536585,1.3415977961432,179.66796474687,2.6,NA,NA,0.08784817875727,NA,45.63,0,NA,NA,29.3,14.959044368601,NA,NA,1.3415977961432
"13",1999-12-31,NA,0.75,0.312,0,NA,1170.4,5.7,64.1,0.15753256328336,NA,NA,0.36057692307692,12.91746031746,0,0.014450724993856,5.88,-227.6,-227.6,-227.6,0.26918,NA,342.8,NA,0.09,-233.3,406.9,0.013157894736842,NA,NA,NA,0,0.27335640138408,NA,0.6084,NA,229,406.9,0,0,NA,NA,0.18666666666667,1.388263391334,1.4352733686067,NA,NA,-0.9938864628821,0.096554077106789,227.6,NA,NA,NA,NA,28.3,14.378091872792,0,NA,1.388263391334
