"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,18.7,1.03,0.4901,0,18.2,31.9,0.4,17.5,0.1028,0.3571,0.5486,0.03,0.53,NA,1.2,0,0,11,10.65,12,0,152.7,218.14,3.14,14.33,12.88,3.12,11.42,170.2,0.0721,NA,0.035,0.3881,NA,0.2075,0.0564,0.7,170.2,0,0,-21.4,-0.4367,-5.4,-0.1102,NA,9.35,0.2174,3.47,-0.77,-0.072,49,15.2194,-1.1758,27.3,8.05,0,62342,48.7,-49.4,NA,48.7,0.75,9.35
"2",2010-12-31,17.5,0.97,0.519,0,30.5,37,0.8,24.2,0.16165664662659,0.40604026845638,0.65405405405405,-0.2752,0.33718689788054,NA,1.4,0,0,-2.6747,-2.6747,-1.2747,0,125.5,19.920634920635,2.4416342412451,NA,NA,2.1057046979866,-1.7996,149.7,0.081081081081081,NA,0.0687,0.42640236187263,NA,0.1558,0.02972972972973,6.3,149.7,0,0,-2.7,-0.045302013422819,2,0.033557046979866,NA,4.9081967213115,-0.044877852348993,2.5117449664429,-0.8752,NA,59.6,-0.42455873015873,-0.088524590163934,12.7,8.47,0,88497,51.4,-14.1,NA,51.4,0.7,4.9081967213115
"3",2009-12-31,17.2,0.89,0.5534,0,29.3,34.9,1.6,23,0.16582552271089,0.42047531992687,0.65902578796562,0.1331,0.33881460065052,NA,1.2,0,0,-5.4447,-5.4447,-4.2447,0,115.7,18.365079365079,1.9315525876461,NA,NA,2.1151736745887,-5.9778,138.7,0.10315186246418,-0.12,-0.1313,0.35503875968992,NA,0.1204,0.031518624641834,6.3,138.7,0,0,-5.5,-0.10054844606947,1.4,0.025594149908592,NA,4.7337883959044,-0.099537842778793,2.5356489945155,0.5331,NA,54.7,-0.86424126984127,-0.1877133105802,13.4,7.9,0,37137,59.9,-1.6,NA,59.9,0.75,4.7337883959044
"4",2008-12-31,14.1,0.82,0.5414,0.016666666666667,11.8,19,1.3,5.6,0.051329055912007,0.10831721470019,0.29473684210526,0.0698,0.22164758034725,NA,0.9,0,0,-8.0811,-8.0811,-7.1811,0,103.5,16.171875,1.9309701492537,NA,NA,2.0019342359768,-8.551,109.1,0.16842105263158,NA,0.1756,0.57154811715481,NA,0.2131,0.063157894736842,6.4,108.9,0.0018365472910927,0.001833180568286,-7.9,-0.15280464216634,1.9,0.036750483558994,NA,9.228813559322,-0.1563081237911,2.1063829787234,0.4698,NA,51.7,-1.2626765625,-0.66949152542373,11.1,7.69,0.2,51768,53.6,-7.9,NA,53.6,0.75,9.0916666666667
"5",2007-12-31,13.8,0.74,0.5899,0.021739130434783,18,22.8,0.9,11.1,0.21850393700787,0.25813953488372,0.48684210526316,-0.5047,0.18986268859129,NA,0.8,0,0,-3.6036,-3.6036,-2.8036,0,39.7,5.4383561643836,0.794,NA,NA,0.92325581395349,-3.1989,50.8,0.12280701754386,NA,0.2513,0.75204678362573,NA,0.1936,0.052631578947368,7.3,50.4,0.0079365079365079,0.0078740157480315,-3.7,-0.086046511627907,3.1,0.072093023255814,NA,2.8,-0.083804651162791,1.1720930232558,-0.4047,NA,43,-0.49364383561644,-0.20555555555556,6.6,4.19,0.4,78351,50,-6,NA,50,0.7,2.7608695652174
"6",2006-12-31,11.5,0.07,0.469,0.076923076923077,8.4,13.2,0.9,2.7,0.032335329341317,0.094405594405594,0.20454545454546,-0.9818,0.18763326226013,NA,0.8,0,0,-4.6753,-4.6753,-3.8753,0,80.8,12.625,2.0049627791563,NA,NA,2.8251748251748,-3.7935,83.5,0.1969696969697,NA,-0.2008,0.30329847144006,NA,0.1311,0.10606060606061,6.4,82.8,0.0084541062801932,0.0083832335329341,-4.6,-0.16083916083916,2.4,0.083916083916084,NA,9.8571428571429,-0.16347202797203,2.8951048951049,-0.8818,NA,28.6,-0.730515625,-0.54761904761905,7.4,7.174,0.7,54779,40.3,-3.7,NA,40.3,0.55,9.1758241758242
"7",2005-12-31,8.9,1.09,0.5591,0.44117647058824,3.8,9.3,0.6,0.3,0.0035502958579882,0.010830324909747,0.032258064516129,0.1657,0.17170452512967,815,0.7,0,0,0.2,0.2,0.9,0,84.2,12.953846153846,3.2384615384615,421,93.555555555556,3.0397111913357,0.1343,84.5,0.25806451612903,NA,0.4861,0.41203007518797,NA,0.1096,0.13978494623656,6.5,81.5,0.03680981595092,0.035502958579882,0.1,0.0036101083032491,2.7,0.097472924187726,0,21.447368421053,0.0072202166064982,2.942238267148,0.0657,0.32851985559567,27.7,0.030769230769231,0.026315789473684,2.9,7.13,3,19065,26,-3.7,NA,26,0.6,12.426470588235
"8",2004-12-31,8.6,0.54,0.7444,0.32,NA,7.7,0.4,0.2,0.0048543689320388,0.0077220077220077,0.025974025974026,0.6704,0.14508328855454,198,0.6,0,0,0.4382,0.4382,1.0382,0,41,8.5416666666667,1.5830115830116,93.564582382474,39.491427470622,2.2905027932961,-0.0322,41.2,0.25974025974026,NA,0.1937,0.325,NA,0.0521,0.16883116883117,4.8,39.6,0.04040404040404,0.038834951456311,0.2,0.011173184357542,1.5,0.083798882681564,0,11.647058823529,0.024480446927374,2.2122905027933,0.4704,1.0734620297867,17.9,0.091291666666667,0.058823529411765,2.4,4.47,1.6,19572,25.9,0.3,132,25.9,0.5,8.24
"9",2003-12-31,8.5,1.57,0.8343,0.36,NA,7,0.2,0.1,0.0037735849056604,0.0057803468208093,NA,0.2607,0.37636341843462,NA,0.5,0,0,0.6435,0.6435,1.1435,0,26.4,5.3877551020408,1.5260115606936,41.025641025641,23.087013554875,1.76,0.6828,26.5,0.27142857142857,NA,0.2978,0.37383605556404,NA,0.0535,0.17142857142857,4.9,24.7,0.072874493927125,0.067924528301887,0,0,1.7,0.11333333333333,NA,7.71875,0.0429,1.6466666666667,-0.0393,-0.061124061124061,15,0.13132653061225,0,2.4,3.59,1.8,191230,17.3,0.4,61.75,17.3,0.45,5.3
"10",2002-12-31,8.5,1.89,0.9874,0.31818181818182,NA,6.5,0.4,0,0,0,NA,0,0.4216,NA,0.4,0,0,-0.8727,-0.8727,-0.4727,0,33.3,NA,NA,NA,NA,2.895652173913,-0.8727,33.3,0.26153846153846,NA,0.0809,0.80865603644647,NA,0.0669,0.2,4.4,31.9,0.043887147335423,0.042042042042042,-1,-0.08695652173913,1.3,0.11304347826087,NA,10.633333333333,-0.075882608695652,2.7739130434783,0,NA,11.5,-0.19832954545455,-0.33333333333333,2.3,3.79,1.4,24083,14.4,-0.3,NA,14.4,0.4,7.5681818181818
"11",2001-12-31,NA,1.84,0.9068,0.3981,NA,6.1,1,0.1,0.013157894736842,0.011111111111111,NA,0.0543,0.3549,NA,0.4,0,0,-1.056,-1.056,-0.656,0,7.5,NA,NA,NA,NA,0.83333333333333,-1.7103,7.6,0.27868852459016,NA,-0.1172,0.76666666666667,0,0.0713,0.14754098360656,4.23,5.9,0.28813559322034,0.22368421052632,-1.6,-0.17777777777778,0.838,0.093111111111111,NA,2.2692307692308,-0.11733333333333,0.65555555555556,0.6543,NA,NA,-0.24964539007092,-0.61538461538461,2.4,0.9,1.7,10700,9,-1.7,NA,9.6,0.5,1.7966903073286
"12",2000-12-31,NA,0.45,0.8764,0,NA,4.1,0.3,0.2,0.020833333333333,0.026666666666667,NA,0.0226,0.15403925148334,NA,0.4,0,0,-0.669,-0.669,-0.269,0,9.4,NA,NA,NA,NA,1.2533333333333,-0.5866,9.6,0.19512195121951,NA,0.0294,0.65357967667437,NA,0.022,NA,2.7,9.6,0,0,-1,-0.13333333333333,0.6,0.08,NA,3.3103448275862,-0.0892,1.28,-0.0824,NA,NA,-0.24777777777778,-0.3448275862069,2.0355,1.45,0,NA,7.5,-1,NA,8.5,NA,3.3103448275862
"13",1999-12-31,NA,0.45,0.9277,0,NA,4.5,0,1.1,0.28205128205128,NA,NA,NA,0.072760590708203,NA,0.4,0,0,-0.7,-0.7,-0.3,0,2.8,NA,NA,NA,NA,0.38356164383562,-0.3537,3.9,0.15555555555556,NA,0.2632,0.88406245169269,NA,0.0028,NA,2.5,3.9,0,0,NA,-0.13698630136986,NA,0.082191780821918,NA,1.0833333333333,-0.095890410958904,0.53424657534247,NA,NA,NA,-0.28,-0.27777777777778,2,NA,NA,NA,NA,-1,NA,7.3,NA,1.0833333333333
